,1-Gram,Frequency,2-Gram,Frequency,3-Gram,Frequency
0,"('yes',)",1126.0,"('yes', 'sushi')",30.0,,
1,"('sushi',)",60710.0,"('sushi', 'place')",2495.0,"('sushi', 'place', 'town')",52.0
2,"('place',)",28762.0,"('place', 'town')",115.0,,
3,"('town',)",2254.0,"('town', 'however')",9.0,,
4,"('however',)",3363.0,"('however', 'great')",20.0,,
5,"('great',)",27962.0,"('great', 'youre')",33.0,,
6,"('youre',)",3723.0,"('youre', 'craving')",90.0,"('youre', 'craving', 'sushi')",41.0
7,"('craving',)",1427.0,"('craving', 'sushi')",459.0,"('craving', 'sushi', 'dont')",10.0
8,"('dont',)",8194.0,"('sushi', 'dont')",179.0,,
9,"('time',)",15036.0,"('dont', 'time')",20.0,,
10,"('go',)",12888.0,"('time', 'go')",333.0,,
11,"('somewhere',)",309.0,"('go', 'somewhere')",63.0,"('go', 'somewhere', 'else')",35.0
12,"('else',)",1746.0,"('somewhere', 'else')",83.0,,
13,"('salmon',)",6289.0,,,,
14,"('probably',)",2993.0,,,,
15,"('best',)",8445.0,"('probably', 'best')",291.0,,
16,"('fish',)",8568.0,"('best', 'fish')",31.0,,
17,"('always',)",9781.0,"('fish', 'always')",178.0,,
18,"('order',)",10637.0,"('always', 'order')",223.0,,
19,"('also',)",14295.0,"('order', 'salmon')",41.0,,
20,"('love',)",8033.0,"('salmon', 'also')",30.0,,
21,"('spicy',)",9858.0,"('also', 'love')",159.0,,
22,"('edamame',)",1844.0,"('love', 'spicy')",96.0,,
23,"('tempura',)",5033.0,"('spicy', 'edamame')",75.0,,
24,"('ocean',)",329.0,"('edamame', 'tempura')",13.0,,
25,"('salad',)",7001.0,,,,
26,"('cabbage',)",229.0,"('ocean', 'salad')",6.0,,
27,"('service',)",19136.0,,,,
28,"('friendly',)",7654.0,"('cabbage', 'salad')",30.0,,
29,"('quick',)",3051.0,"('salad', 'service')",16.0,,
30,"('really',)",16658.0,"('service', 'always')",539.0,"('service', 'always', 'friendly')",61.0
31,"('3',)",3555.0,"('always', 'friendly')",291.0,,
32,"('4',)",4102.0,"('friendly', 'quick')",95.0,,
33,"('stars',)",3935.0,"('quick', 'really')",7.0,,
34,"('one',)",14690.0,,,,
35,"('96th',)",16.0,"('3', '4')",127.0,"('3', '4', 'stars')",21.0
36,"('street',)",1357.0,"('4', 'stars')",1256.0,"('4', 'stars', 'one')",12.0
37,"('naked',)",88.0,"('stars', 'one')",35.0,,
38,"('tchopstix',)",39.0,"('one', 'love')",16.0,,
39,"('excited',)",667.0,,,,
40,"('see',)",3349.0,"('96th', 'street')",13.0,,
41,"('closer',)",301.0,,,,
42,,,"('naked', 'tchopstix')",34.0,,
43,"('vibe',)",738.0,,,,
44,"('totally',)",729.0,"('excited', 'see')",81.0,,
45,"('different',)",4045.0,"('see', 'one')",20.0,,
46,"('geared',)",22.0,"('one', 'closer')",8.0,,
47,"('take',)",4627.0,,,,
48,"('although',)",1969.0,,,,
49,"('decent',)",3114.0,,,,
50,"('size',)",1806.0,"('totally', 'different')",26.0,,
51,"('dining',)",2608.0,,,,
52,"('area',)",5902.0,,,,
53,"('counter',)",534.0,,,,
54,"('deliver',)",350.0,,,,
55,"('itmy',)",18.0,"('decent', 'size')",74.0,,
56,"('daughter',)",586.0,,,,
57,"('tried',)",5006.0,"('dining', 'area')",290.0,,
58,"('bowl',)",3026.0,"('area', 'order')",9.0,,
59,"('pick',)",1245.0,"('order', 'counter')",39.0,,
60,"('piece',)",1107.0,,,,
61,"('paper',)",587.0,,,,
62,"('select',)",189.0,,,,
63,"('choice',)",1640.0,"('daughter', 'tried')",7.0,,
64,"('proteins',)",127.0,"('tried', 'sushi')",263.0,,
65,"('vegetables',)",983.0,"('sushi', 'bowl')",40.0,,
66,"('rice',)",9473.0,,,,
67,"('toppings',)",509.0,,,,
68,"('like',)",17513.0,"('piece', 'paper')",17.0,,
69,"('fact',)",981.0,,,,
70,"('guess',)",760.0,,,,
71,"('things',)",2784.0,,,,
72,"('shout',)",47.0,,,,
73,"('tell',)",1150.0,"('vegetables', 'rice')",22.0,,
74,"('server',)",3884.0,"('rice', 'toppings')",10.0,,
