,1-Gram,Frequency,2-Gram,Frequency,3-Gram,Frequency
125,"('2',)",3473.0,"('minutes', 'later')",804.0,"('20', 'minutes', 'later')",88.0
126,"('third',)",272.0,,,,
127,"('come',)",4053.0,"('water', 'order')",11.0,,
128,"('ordered',)",9145.0,,,,
129,"('go',)",7722.0,"('simple', 'roll')",6.0,,
130,"('placed',)",690.0,"('roll', 'son')",6.0,,
131,"('became',)",226.0,,,,
132,"('perturbed',)",7.0,"('get', 'started')",33.0,,
133,"('wanted',)",2608.0,,,,
134,"('check',)",2355.0,"('cold', 'sake')",14.0,,
135,"('nearly',)",370.0,"('sake', 'said')",7.0,,
136,"('hours',)",1331.0,"('said', 'will')",84.0,,
137,"('trying',)",1206.0,"('will', 'wait')",33.0,,
138,"('deal',)",637.0,"('wait', 'order')",14.0,,
139,,,"('order', 'mine')",8.0,,
140,"('waited',)",2471.0,,,,
141,"('served',)",1763.0,,,,
142,"('seeing',)",251.0,,,,
143,"('chef',)",2250.0,"('another', '30')",100.0,,
144,"('everyones',)",65.0,"('30', 'min')",145.0,"('another', '30', 'min')",10.0
145,"('time',)",9617.0,"('min', 'later')",73.0,"('30', 'min', 'later')",7.0
146,"('510',)",57.0,"('later', 'still')",86.0,"('min', 'later', 'still')",8.0
147,"('walk',)",727.0,,,,
148,"('6',)",888.0,"('water', 'food')",22.0,,
149,"('drink',)",1783.0,"('food', 'waiter')",33.0,,
150,"('reluctantly',)",36.0,,,,
151,"('paid',)",1353.0,"('hot', 'sake')",35.0,,
152,"('hospitality',)",67.0,,,,
153,"('industry',)",228.0,,,,
154,"('years',)",1588.0,,,,
155,"('know',)",3862.0,,,,
156,"('expect',)",652.0,"('son', 'asked')",10.0,,
157,"('forgive',)",24.0,"('asked', 'finally')",6.0,,
158,"('also',)",3790.0,,,,
159,"('english',)",256.0,,,,
160,"('second',)",1229.0,,,,
161,"('language',)",121.0,"('water', 'one')",17.0,,
162,"('must',)",626.0,"('one', 'cup')",11.0,,
164,"('since',)",2357.0,,,,
165,"('able',)",599.0,,,,
166,"('wasnt',)",3121.0,"('see', '2')",8.0,,
167,"('issue',)",541.0,,,,
168,"('dealing',)",64.0,,,,
170,"('toddler',)",39.0,"('table', 'come')",9.0,,
171,"('single',)",449.0,"('come', 'ordered')",19.0,,
172,"('mother',)",174.0,"('ordered', 'go')",57.0,,
173,"('feel',)",1076.0,"('go', 'order')",147.0,,
174,"('like',)",9893.0,"('order', 'placed')",74.0,,
175,"('least',)",1547.0,"('placed', 'food')",9.0,,
176,"('done',)",1071.0,"('food', 'water')",8.0,,
177,"('offer',)",717.0,,,"('ordered', 'go', 'order')",7.0
178,"('understand',)",1137.0,,,,
179,"('couldnt',)",1809.0,,,,
180,"('accommodate',)",143.0,"('waiter', 'never')",56.0,,
181,"('tried',)",2197.0,"('never', 'came')",450.0,,
182,"('principal',)",6.0,"('came', 'back')",836.0,,
183,"('else',)",1970.0,"('back', 'see')",33.0,,
184,"('just',)",10604.0,"('see', 'wanted')",12.0,,
185,"('waisted',)",6.0,,,"('waiter', 'never', 'came')",25.0
186,"('leave',)",1616.0,"('back', 'check')",77.0,"('never', 'came', 'back')",157.0
187,"('baby',)",209.0,"('check', 'order')",44.0,"('came', 'back', 'see')",9.0
188,"('somewhere',)",618.0,"('order', 'finally')",53.0,,
189,"('money',)",2504.0,,,,
190,"('rare',)",153.0,"('nearly', '2')",13.0,,
191,"('plan',)",141.0,"('2', 'hours')",350.0,"('came', 'back', 'check')",45.0
192,"('busy',)",1632.0,"('hours', 'waiting')",18.0,,
194,"('listened',)",46.0,,,,
195,"('reviews',)",1656.0,,,,
196,"('shitty',)",99.0,,,"('nearly', '2', 'hours')",11.0
197,"('service',)",11440.0,,,"('2', 'hours', 'waiting')",8.0
198,"('dont',)",6638.0,"('waited', 'long')",71.0,,
199,"('waste',)",1106.0,,,,
201,"('away',)",2337.0,,,,
202,"('place',)",13275.0,"('one', 'chef')",31.0,,
203,"('better',)",3335.0,,,,
204,"('restaurant',)",8623.0,"('trying', 'make')",36.0,,
205,"('smelled',)",411.0,,,,
206,"('toilet',)",138.0,"('everyones', 'order')",8.0,,
207,"('stand',)",316.0,"('order', 'decided')",12.0,,
208,"('daughter',)",449.0,,,,
209,"('meals',)",507.0,"('time', 'go')",129.0,,
210,"('guy',)",838.0,,,,
211,"('put',)",1971.0,,,,
212,"('box',)",627.0,"('waiting', 'another')",45.0,,
213,"('doesnt',)",1102.0,"('another', '510')",9.0,,
214,"('eat',)",5964.0,"('510', 'minutes')",36.0,,
215,"('fish',)",3796.0,,,,
216,"('likes',)",57.0,,,,
217,"('california',)",474.0,"('ask', 'check')",46.0,,
218,"('spicy',)",1694.0,,,,
219,"('tuna',)",1930.0,,,"('another', '510', 'minutes')",9.0
220,"('mediocre',)",995.0,,,,
221,"('enjoyed',)",335.0,,,,
222,"('sat',)",2090.0,,,,
223,"('miso',)",1066.0,"('hospitality', 'industry')",12.0,,
224,"('drinks',)",2181.0,"('industry', 'years')",8.0,,
225,"('actual',)",201.0,"('years', 'know')",14.0,,
226,"('someone',)",1458.0,"('know', 'expect')",11.0,,
227,"('cook',)",776.0,,,,
228,"('chicken',)",3525.0,,,,
229,"('teriyaki',)",831.0,,,,
230,"('lunch',)",2323.0,"('also', 'know')",8.0,,
231,"('bento',)",290.0,,,,
232,"('literally',)",1112.0,,,,
233,"('seen',)",621.0,,,,
234,"('without',)",1433.0,,,,
235,"('rice',)",5024.0,,,,
236,"('disappoint',)",28.0,,,,
237,"('nothing',)",2161.0,,,,
238,"('pics',)",44.0,,,,
239,"('showed',)",573.0,"('wait', 'tables')",19.0,,
240,"('yelp',)",822.0,,,,
241,"('comment',)",188.0,"('know', 'wasnt')",11.0,,
242,"('lover',)",64.0,"('wasnt', 'issue')",7.0,,
243,"('poorly',)",342.0,,,,
244,"('cut',)",676.0,,,,
245,"('tasteless',)",513.0,,,,
246,"('dynamite',)",59.0,,,,
247,"('extremely',)",1290.0,,,,
248,"('salty',)",487.0,,,,
249,"('loads',)",14.0,,,,
250,,,"('feel', 'like')",260.0,,
251,"('took',)",4303.0,"('like', 'least')",7.0,,
252,"('bite',)",571.0,,,,
253,"('left',)",3397.0,,,,
254,"('rest',)",821.0,"('offer', 'free')",20.0,,
255,,,"('free', 'drink')",17.0,,
256,"('ever',)",4592.0,,,,
257,"('45',)",945.0,,,,
258,"('star',)",1493.0,,,,
259,"('please',)",854.0,"('couldnt', 'accommodate')",7.0,,
260,"('avoid',)",567.0,,,,
261,"('cost',)",419.0,,,,
262,"('live',)",431.0,,,,
263,"('neighborhood',)",129.0,"('else', 'just')",30.0,,
264,"('used',)",1900.0,,,,
265,"('week',)",701.0,,,,
266,"('pick',)",881.0,,,,
267,"('last',)",3228.0,,,,
268,"('times',)",3024.0,,,,
269,"('10',)",2286.0,,,,
270,"('team',)",60.0,"('somewhere', 'else')",434.0,,
271,,,"('else', 'time')",7.0,,
272,"('find',)",1282.0,"('time', 'money')",277.0,,
273,"('change',)",590.0,,,,
274,"('pay',)",1768.0,"('hours', 'time')",10.0,,
275,"('home',)",1191.0,,,,
276,"('tonight',)",1038.0,,,,
277,"('20s',)",8.0,,,,
278,"('27',)",66.0,,,,
279,"('dollar',)",261.0,,,,
280,"('wrong',)",1877.0,,,,
281,"('warm',)",756.0,,,,
282,"('dish',)",1323.0,"('shitty', 'service')",20.0,,
283,"('lost',)",587.0,"('service', 'dont')",69.0,,
284,"('customer',)",2839.0,"('dont', 'waste')",401.0,,
285,"('husband',)",1358.0,"('waste', 'time')",425.0,,
286,"('went',)",4805.0,,,,
287,"('friday',)",507.0,,,,
288,"('evening',)",562.0,"('away', 'place')",94.0,,
289,"('woman',)",473.0,"('place', 'better')",38.0,,
290,"('right',)",2418.0,"('better', 'restaurant')",15.0,,
291,"('front',)",1313.0,"('restaurant', 'smelled')",10.0,,
292,"('walked',)",2126.0,"('smelled', 'like')",113.0,"('service', 'dont', 'waste')",12.0
293,"('hostess',)",1252.0,,,"('dont', 'waste', 'time')",212.0
294,"('party',)",1654.0,,,,
295,"('four',)",616.0,"('couldnt', 'stand')",10.0,,
296,"('promptly',)",208.0,,,,
297,"('seated',)",2122.0,"('daughter', 'got')",14.0,,
298,"('six',)",210.0,"('got', 'meals')",9.0,,
299,"('open',)",1114.0,,,,
300,"('well',)",2981.0,,,,
301,"('people',)",4302.0,,,,
302,"('finishing',)",146.0,"('put', 'box')",6.0,,
303,"('several',)",1075.0,,,,
