"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,3,0,0,3,0,1,1,0,5,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,1,1,1,1,5,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,2,0,1,3,1,4,6,"gebiRewfieSdtt17PTW6Zg"
1,7,3,1,7,3,4,8,6,10,6,"gebiRewfieSdtt17PTW6Zg"
1,11,2,1,10,0,5,14,2,18,13,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,1,0,0,1,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,2,0,1,4,1,4,4,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,3,0,3,4,2,7,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,4,2,"gebiRewfieSdtt17PTW6Zg"
2,6,1,1,5,1,2,3,2,7,4,"gebiRewfieSdtt17PTW6Zg"
2,2,2,4,4,3,2,4,5,10,9,"gebiRewfieSdtt17PTW6Zg"
3,7,1,2,3,2,3,5,7,4,0,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,1,1,0,1,2,1,3,"gebiRewfieSdtt17PTW6Zg"
1,3,0,2,6,1,2,6,3,13,9,"gebiRewfieSdtt17PTW6Zg"
2,2,4,2,1,2,0,1,4,2,-2,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,3,1,3,2,1,4,2,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,1,1,1,1,2,1,1,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,1,0,1,0,1,1,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,1,3,4,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,1,1,2,2,3,2,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,1,1,2,1,2,3,"gebiRewfieSdtt17PTW6Zg"
2,3,0,3,2,1,2,4,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,3,1,1,3,0,1,3,2,5,10,"gebiRewfieSdtt17PTW6Zg"
1,5,1,1,4,0,2,4,2,7,4,"gebiRewfieSdtt17PTW6Zg"
1,4,2,1,6,3,1,5,4,9,2,"gebiRewfieSdtt17PTW6Zg"
0,3,1,1,3,4,3,4,3,10,2,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,0,1,1,0,1,0,1,"gebiRewfieSdtt17PTW6Zg"
2,7,1,1,5,1,4,7,4,8,5,"gebiRewfieSdtt17PTW6Zg"
2,3,0,1,3,0,2,4,3,7,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,2,1,3,6,"gebiRewfieSdtt17PTW6Zg"
0,7,0,0,5,0,2,5,2,9,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,5,0,2,4,0,5,2,"gebiRewfieSdtt17PTW6Zg"
2,0,0,1,1,1,1,0,2,1,4,"gebiRewfieSdtt17PTW6Zg"
0,5,1,0,2,0,2,3,4,4,0,"gebiRewfieSdtt17PTW6Zg"
1,4,4,3,2,4,4,6,8,7,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,1,0,0,1,2,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,4,"gebiRewfieSdtt17PTW6Zg"
1,7,0,0,3,1,1,3,3,6,8,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,4,1,3,3,1,4,3,"gebiRewfieSdtt17PTW6Zg"
2,9,3,4,13,2,5,13,3,20,8,"gebiRewfieSdtt17PTW6Zg"
1,3,3,2,3,2,4,5,5,8,3,"gebiRewfieSdtt17PTW6Zg"
3,5,3,4,3,4,2,2,4,10,2,"gebiRewfieSdtt17PTW6Zg"
