"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,0,1,0,1,1,1,1,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,1,0,3,3,"gebiRewfieSdtt17PTW6Zg"
1,6,1,1,1,1,2,2,2,5,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,1,2,2,5,5,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,2,0,1,3,1,3,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,0,0,2,1,"gebiRewfieSdtt17PTW6Zg"
2,5,0,1,4,0,2,2,3,7,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,4,2,1,2,1,6,3,"gebiRewfieSdtt17PTW6Zg"
2,2,0,2,4,1,1,4,1,5,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,4,1,0,1,2,4,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,1,1,2,1,2,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,1,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,1,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,5,0,0,3,0,5,5,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,4,0,1,4,0,6,6,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,2,0,2,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,4,2,"gebiRewfieSdtt17PTW6Zg"
2,1,1,2,2,2,2,1,3,3,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,2,2,0,4,4,"gebiRewfieSdtt17PTW6Zg"
1,3,1,2,4,1,1,5,3,7,3,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,2,0,1,3,0,4,1,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,2,1,1,1,1,2,3,"gebiRewfieSdtt17PTW6Zg"
2,2,1,2,3,1,1,2,4,5,-1,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,1,1,1,2,2,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,0,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,0,1,1,0,2,1,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,1,0,1,3,6,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,1,1,2,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,6,1,0,6,0,3,6,5,7,4,"gebiRewfieSdtt17PTW6Zg"
3,5,1,3,5,1,4,4,2,6,4,"gebiRewfieSdtt17PTW6Zg"
2,1,1,1,2,2,1,4,2,4,-3,"gebiRewfieSdtt17PTW6Zg"
3,3,1,3,3,1,2,4,3,7,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,0,2,3,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,4,1,1,4,2,6,1,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,0,2,1,4,1,"gebiRewfieSdtt17PTW6Zg"
4,2,0,1,3,6,2,2,6,7,-3,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,2,0,0,4,1,6,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,1,3,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,0,1,0,1,2,4,-1,"gebiRewfieSdtt17PTW6Zg"
5,5,2,4,5,1,2,5,5,12,6,"gebiRewfieSdtt17PTW6Zg"
1,2,3,2,1,2,1,1,4,3,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,3,1,1,3,1,3,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,0,0,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,1,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,2,0,0,2,1,3,1,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,4,0,0,1,0,6,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,2,0,1,2,1,2,1,"gebiRewfieSdtt17PTW6Zg"
1,7,0,1,6,0,1,4,1,13,6,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,3,0,1,3,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,1,3,1,6,6,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,0,1,3,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
