"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,1,0,1,2,0,0,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
1,5,0,2,3,0,1,3,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,1,1,1,-1,"gebiRewfieSdtt17PTW6Zg"
4,7,2,5,6,4,5,5,9,10,3,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,3,1,2,3,2,6,7,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,0,3,4,1,6,5,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,1,0,0,3,0,5,3,"gebiRewfieSdtt17PTW6Zg"
3,6,1,3,6,1,4,6,3,7,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,2,2,3,4,7,5,"gebiRewfieSdtt17PTW6Zg"
