"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,0,0,3,3,2,0,1,2,4,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,3,2,"gebiRewfieSdtt17PTW6Zg"
2,1,0,1,3,0,2,4,2,8,6,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,4,2,1,5,3,7,3,"gebiRewfieSdtt17PTW6Zg"
1,0,2,1,0,0,0,0,2,0,-2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,5,0,2,5,0,8,7,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,3,2,3,4,2,6,8,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,4,0,0,3,0,5,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,0,0,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,3,1,0,3,1,5,3,"gebiRewfieSdtt17PTW6Zg"
3,10,1,4,4,2,3,5,6,11,6,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,1,0,0,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,2,1,0,2,3,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,2,0,0,0,1,4,6,"gebiRewfieSdtt17PTW6Zg"
2,4,2,1,4,3,2,5,5,8,0,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,4,1,1,5,1,7,2,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,2,2,1,3,2,3,1,"gebiRewfieSdtt17PTW6Zg"
0,5,0,1,7,2,2,7,1,14,12,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,1,0,0,2,1,2,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,1,2,0,2,3,4,5,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,3,0,0,2,0,5,4,"gebiRewfieSdtt17PTW6Zg"
