"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
3,2,2,3,6,3,1,8,4,9,6,"gebiRewfieSdtt17PTW6Zg"
7,9,7,14,6,13,5,13,22,19,-10,"gebiRewfieSdtt17PTW6Zg"
2,5,2,3,7,5,4,5,7,13,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,0,6,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,1,5,5,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,3,1,0,2,1,5,1,"gebiRewfieSdtt17PTW6Zg"
0,4,2,2,6,2,1,6,5,12,17,"gebiRewfieSdtt17PTW6Zg"
6,5,5,4,7,7,5,5,11,11,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,1,2,1,2,1,"gebiRewfieSdtt17PTW6Zg"
1,5,1,2,3,2,0,3,4,10,7,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,3,2,2,2,3,4,3,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,4,1,2,4,3,8,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,5,0,0,5,2,9,9,"gebiRewfieSdtt17PTW6Zg"
0,2,1,2,3,1,1,4,3,6,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,0,1,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,3,0,1,2,1,4,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,4,1,2,6,4,4,6,5,11,6,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,1,2,1,1,3,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,1,0,2,3,5,7,"gebiRewfieSdtt17PTW6Zg"
2,9,1,3,8,2,3,8,5,11,9,"gebiRewfieSdtt17PTW6Zg"
1,2,2,1,2,2,1,2,3,3,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,2,1,7,8,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,3,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
3,6,5,5,7,5,2,5,10,11,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,0,1,1,5,-1,"gebiRewfieSdtt17PTW6Zg"
3,5,2,2,5,1,2,5,5,7,8,"gebiRewfieSdtt17PTW6Zg"
2,1,2,3,3,4,1,3,5,5,-1,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,4,2,4,4,3,7,1,"gebiRewfieSdtt17PTW6Zg"
3,4,1,4,3,3,3,4,7,11,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,3,1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,4,1,3,4,3,7,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,1,0,0,1,1,-1,"gebiRewfieSdtt17PTW6Zg"
1,5,4,1,8,2,1,6,7,11,6,"gebiRewfieSdtt17PTW6Zg"
2,8,3,6,4,6,5,6,10,12,1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,1,4,1,8,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,4,0,6,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,1,"gebiRewfieSdtt17PTW6Zg"
6,4,6,5,6,6,2,3,7,9,1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,4,2,2,4,2,6,8,"gebiRewfieSdtt17PTW6Zg"
1,4,1,0,4,0,0,5,3,11,6,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,9,2,2,7,5,10,12,"gebiRewfieSdtt17PTW6Zg"
1,4,0,0,5,0,0,5,1,9,9,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,1,1,1,1,3,2,0,"gebiRewfieSdtt17PTW6Zg"
5,0,3,2,3,3,2,5,9,7,-1,"gebiRewfieSdtt17PTW6Zg"
1,2,0,2,4,1,3,3,2,7,10,"gebiRewfieSdtt17PTW6Zg"
1,6,1,0,8,0,3,6,2,12,11,"gebiRewfieSdtt17PTW6Zg"
