,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
44,"('day',)",3.0,0.004792332268370607,"('jaime', 'nono')",1.0,0.0016,"('water', 'free', 'terrible')",1,0.0016025641025641025
45,"('delicious',)",3.0,0.004792332268370607,"('always', 'gets')",1.0,0.0016,"('free', 'terrible', 'point')",1,0.0016025641025641025
46,"('prepared',)",3.0,0.004792332268370607,"('mickey', 'donald')",1.0,0.0016,"('terrible', 'point', 'time')",1,0.0016025641025641025
47,"('super',)",2.0,0.003194888178913738,"('favorites', 'ready')",1.0,0.0016,"('point', 'time', 'good')",1,0.0016025641025641025
48,"('80',)",2.0,0.003194888178913738,"('ready', 'even')",1.0,0.0016,"('time', 'good', 'service')",1,0.0016025641025641025
49,"('patrons',)",2.0,0.003194888178913738,"('water', 'free')",1.0,0.0016,"('service', '1100', '300')",1,0.0016025641025641025
50,"('inside',)",2.0,0.003194888178913738,"('free', 'terrible')",1.0,0.0016,"('always', 'gets', 'favorites')",1,0.0016025641025641025
51,"('20',)",2.0,0.003194888178913738,"('terrible', 'point')",1.0,0.0016,"('1100', '300', 'can')",1,0.0016025641025641025
52,"('buy',)",2.0,0.003194888178913738,"('point', 'time')",1.0,0.0016,"('300', 'can', 'eat')",1,0.0016025641025641025
53,"('100',)",2.0,0.003194888178913738,"('time', 'good')",1.0,0.0016,"('can', 'eat', '17')",1,0.0016025641025641025
54,"('staffed',)",2.0,0.003194888178913738,"('service', '1100')",1.0,0.0016,"('eat', '17', 'love')",1,0.0016025641025641025
55,"('water',)",2.0,0.003194888178913738,"('1100', '300')",1.0,0.0016,"('17', 'love', 's')",1,0.0016025641025641025
56,"('tea',)",2.0,0.003194888178913738,"('300', 'can')",1.0,0.0016,"('love', 's', 'u')",1,0.0016025641025641025
57,"('staff',)",2.0,0.003194888178913738,"('eat', '17')",1.0,0.0016,"('s', 'u', 's')",1,0.0016025641025641025
58,"('costco',)",2.0,0.003194888178913738,"('17', 'love')",1.0,0.0016,"('tea', 'even', 'allyoucaneat')",1,0.0016025641025641025
59,"('happy',)",2.0,0.003194888178913738,"('love', 's')",1.0,0.0016,"('250', 'tea', 'even')",1,0.0016025641025641025
60,"('far',)",2.0,0.003194888178913738,"('s', 'u')",1.0,0.0016,"('price', '250', 'tea')",1,0.0016025641025641025
61,"('places',)",2.0,0.003194888178913738,"('u', 's')",1.0,0.0016,"('small', 'price', '250')",1,0.0016025641025641025
62,"('full',)",2.0,0.003194888178913738,"('s', 'h')",1.0,0.0016,"('gets', 'favorites', 'ready')",1,0.0016025641025641025
63,"('ice',)",2.0,0.003194888178913738,"('h', 'great')",1.0,0.0016,"('favorites', 'ready', 'even')",1,0.0016025641025641025
64,"('wouldnt',)",2.0,0.003194888178913738,"('allyoucaneat', 'water')",1.0,0.0016,"('ready', 'even', 'order')",1,0.0016025641025641025
65,"('brown',)",2.0,0.003194888178913738,"('even', 'allyoucaneat')",1.0,0.0016,"('even', 'order', 'mickey')",1,0.0016025641025641025
66,"('bbq',)",2.0,0.003194888178913738,"('tea', 'even')",1.0,0.0016,"('order', 'mickey', 'donald')",1,0.0016025641025641025
67,"('s',)",2.0,0.003194888178913738,"('way', 'much')",1.0,0.0016,"('mickey', 'donald', 'good')",1,0.0016025641025641025
68,"('ask',)",2.0,0.003194888178913738,"('even', 'order')",1.0,0.0016,"('donald', 'good', 'ordered')",1,0.0016025641025641025
69,"('terrible',)",2.0,0.003194888178913738,"('order', 'mickey')",1.0,0.0016,"('good', 'ordered', 'way')",1,0.0016025641025641025
70,"('town',)",2.0,0.003194888178913738,"('ayce', 'worth')",1.0,0.0016,"('ordered', 'way', 'much')",1,0.0016025641025641025
71,"('quality',)",2.0,0.003194888178913738,"('donald', 'good')",1.0,0.0016,"('way', 'much', 'let')",1,0.0016025641025641025
72,"('tip',)",2.0,0.003194888178913738,"('good', 'ordered')",1.0,0.0016,"('much', 'let', 'us')",1,0.0016025641025641025
73,"('tuna',)",2.0,0.003194888178913738,"('ordered', 'way')",1.0,0.0016,"('let', 'us', 'take')",1,0.0016025641025641025
74,"('tasty',)",2.0,0.003194888178913738,"('much', 'let')",1.0,0.0016,"('us', 'take', 'home')",1,0.0016025641025641025
75,"('takes',)",2.0,0.003194888178913738,"('250', 'tea')",1.0,0.0016,"('take', 'home', 'small')",1,0.0016025641025641025
76,"('sake',)",2.0,0.003194888178913738,"('let', 'us')",1.0,0.0016,"('home', 'small', 'price')",1,0.0016025641025641025
77,"('free',)",2.0,0.003194888178913738,"('us', 'take')",1.0,0.0016,"('tradition', 'love', 'nigiri')",1,0.0016025641025641025
78,"('kids',)",2.0,0.003194888178913738,"('take', 'home')",1.0,0.0016,"('tournament', 'tradition', 'love')",1,0.0016025641025641025
79,"('several',)",2.0,0.003194888178913738,"('home', 'small')",1.0,0.0016,"('post', 'tournament', 'tradition')",1,0.0016025641025641025
80,"('locay',)",2.0,0.003194888178913738,"('small', 'price')",1.0,0.0016,"('spicy3', 'inconsistentlysized', 'roll')",1,0.0016025641025641025
81,"('times',)",2.0,0.003194888178913738,"('price', '250')",1.0,0.0016,"('specifically', 'requested', 'none2')",1,0.0016025641025641025
82,"('deal',)",2.0,0.003194888178913738,"('worth', 'got')",1.0,0.0016,"('requested', 'none2', 'spicy')",1,0.0016025641025641025
83,"('2pc',)",2.0,0.003194888178913738,"('titan', 'roll')",1.0,0.0016,"('none2', 'spicy', 'tuna')",1,0.0016025641025641025
84,"('will',)",2.0,0.003194888178913738,"('day', 'ayce')",1.0,0.0016,"('spicy', 'tuna', 'even')",1,0.0016025641025641025
85,"('sashimi',)",2.0,0.003194888178913738,"('mouthfuls', 'big4')",1.0,0.0016,"('tuna', 'even', 'close')",1,0.0016025641025641025
86,"('miso',)",2.0,0.003194888178913738,"('close', 'spicy3')",1.0,0.0016,"('even', 'close', 'spicy3')",1,0.0016025641025641025
87,"('way',)",2.0,0.003194888178913738,"('spicy3', 'inconsistentlysized')",1.0,0.0016,"('close', 'spicy3', 'inconsistentlysized')",1,0.0016025641025641025
88,"('check',)",2.0,0.003194888178913738,"('inconsistentlysized', 'roll')",1.0,0.0016,"('inconsistentlysized', 'roll', 'bites')",1,0.0016025641025641025
89,"('sure',)",2.0,0.003194888178913738,"('roll', 'bites')",1.0,0.0016,"('automatic', '20', 'tip')",1,0.0016025641025641025
90,"('beware',)",2.0,0.003194888178913738,"('bites', 'normal')",1.0,0.0016,"('roll', 'bites', 'normal')",1,0.0016025641025641025
91,"('soup',)",2.0,0.003194888178913738,"('normal', '2')",1.0,0.0016,"('bites', 'normal', '2')",1,0.0016025641025641025
92,"('sit',)",2.0,0.003194888178913738,"('2', 'mouthfuls')",1.0,0.0016,"('normal', '2', 'mouthfuls')",1,0.0016025641025641025
93,"('drink',)",2.0,0.003194888178913738,"('big4', 'parties')",1.0,0.0016,"('2', 'mouthfuls', 'big4')",1,0.0016025641025641025
94,"('table',)",2.0,0.003194888178913738,"('roll', 'day')",1.0,0.0016,"('mouthfuls', 'big4', 'parties')",1,0.0016025641025641025
95,"('awesome',)",2.0,0.003194888178913738,"('parties', '6')",1.0,0.0016,"('big4', 'parties', '6')",1,0.0016025641025641025
96,"('never',)",1.0,0.001597444089456869,"('6', 'automatic')",1.0,0.0016,"('parties', '6', 'automatic')",1,0.0016025641025641025
97,"('let',)",1.0,0.001597444089456869,"('automatic', '20')",1.0,0.0016,"('eggs', 'specifically', 'requested')",1,0.0016025641025641025
98,"('disappointed',)",1.0,0.001597444089456869,"('20', 'tip')",1.0,0.0016,"('covered', 'eggs', 'specifically')",1,0.0016025641025641025
99,"('peter',)",1.0,0.001597444089456869,"('tip', 'despite')",1.0,0.0016,"('roll', 'covered', 'eggs')",1,0.0016025641025641025
