"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
3,4,3,3,5,4,1,7,9,12,2,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,1,0,0,1,0,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,1,0,0,1,0,1,4,"gebiRewfieSdtt17PTW6Zg"
3,6,1,2,3,1,1,3,4,7,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,0,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,2,2,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,6,1,1,6,1,10,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
