"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,0,1,1,1,0,0,1,2,2,-4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,3,1,3,4,7,-3,"gebiRewfieSdtt17PTW6Zg"
4,7,2,3,6,4,3,5,6,9,3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,3,1,1,2,2,5,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
2,4,1,3,6,3,4,6,6,14,1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,2,3,0,8,10,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,0,3,0,4,6,"gebiRewfieSdtt17PTW6Zg"
1,2,2,2,2,1,1,3,5,7,0,"gebiRewfieSdtt17PTW6Zg"
0,2,1,3,5,2,1,6,2,7,7,"gebiRewfieSdtt17PTW6Zg"
4,2,2,4,3,4,3,6,6,9,-3,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,3,0,1,2,1,5,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,3,0,"gebiRewfieSdtt17PTW6Zg"
2,2,2,3,3,2,2,2,4,4,2,"gebiRewfieSdtt17PTW6Zg"
5,10,3,4,14,5,7,16,16,31,20,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,4,4,"gebiRewfieSdtt17PTW6Zg"
3,7,4,4,10,2,3,8,8,16,11,"gebiRewfieSdtt17PTW6Zg"
2,4,3,1,3,3,2,5,5,10,-2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,-1,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,1,1,2,2,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,4,3,"gebiRewfieSdtt17PTW6Zg"
2,3,0,5,4,2,1,3,7,9,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,1,0,1,1,1,1,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,3,1,7,5,"gebiRewfieSdtt17PTW6Zg"
4,6,1,2,5,3,3,5,8,10,-5,"gebiRewfieSdtt17PTW6Zg"
