"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,0,0,0,4,1,0,4,2,4,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,2,5,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,0,0,0,0,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,1,0,0,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,0,1,3,3,1,0,3,3,7,-2,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,4,0,0,3,0,6,4,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,2,1,0,2,1,3,0,"gebiRewfieSdtt17PTW6Zg"
2,1,3,0,2,2,0,2,3,4,-1,"gebiRewfieSdtt17PTW6Zg"
0,6,1,3,4,0,1,4,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,0,4,2,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,1,1,0,1,2,2,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,2,1,1,3,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,1,4,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,4,1,0,3,3,7,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,0,0,0,1,0,1,-1,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,4,0,2,4,1,5,5,"gebiRewfieSdtt17PTW6Zg"
1,2,2,1,3,1,1,2,3,6,0,"gebiRewfieSdtt17PTW6Zg"
2,1,0,3,1,1,1,2,2,2,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,5,0,1,7,0,8,6,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,1,1,0,3,2,6,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,1,2,4,"gebiRewfieSdtt17PTW6Zg"
2,1,2,2,0,1,0,0,4,2,-5,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,1,0,0,2,0,5,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,4,0,0,2,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,5,0,1,3,0,6,3,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,1,1,0,1,2,1,-1,"gebiRewfieSdtt17PTW6Zg"
6,8,5,5,12,10,2,11,12,18,4,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,2,0,2,3,1,2,0,"gebiRewfieSdtt17PTW6Zg"
1,3,1,2,1,1,0,3,2,3,1,"gebiRewfieSdtt17PTW6Zg"
3,1,2,3,2,3,1,2,4,4,3,"gebiRewfieSdtt17PTW6Zg"
0,6,1,1,5,0,1,6,2,7,3,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,5,1,1,5,3,6,7,"gebiRewfieSdtt17PTW6Zg"
2,2,1,2,2,1,0,2,2,6,1,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,1,0,0,1,2,2,0,"gebiRewfieSdtt17PTW6Zg"
1,2,2,1,2,1,2,2,2,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,0,4,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,0,4,0,5,5,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,4,0,1,4,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,1,2,0,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,5,0,0,6,0,8,9,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,1,1,1,1,1,2,1,"gebiRewfieSdtt17PTW6Zg"
2,8,2,2,9,2,6,10,6,13,11,"gebiRewfieSdtt17PTW6Zg"
2,1,1,2,2,2,1,3,2,8,7,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,0,1,0,0,1,2,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,1,0,1,1,2,3,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,3,0,0,2,0,4,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,1,4,4,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,1,1,2,3,1,7,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,4,"gebiRewfieSdtt17PTW6Zg"
1,3,2,1,3,4,1,3,5,5,-2,"gebiRewfieSdtt17PTW6Zg"
3,1,2,3,0,3,0,1,5,3,-3,"gebiRewfieSdtt17PTW6Zg"
0,2,1,2,3,1,1,3,2,3,0,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,2,0,0,3,0,7,9,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,2,"gebiRewfieSdtt17PTW6Zg"
