"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,1,0,0,3,0,1,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
1,3,2,1,3,4,1,2,3,4,2,"gebiRewfieSdtt17PTW6Zg"
2,7,1,0,8,3,6,11,8,22,8,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,0,1,0,0,2,1,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,0,0,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,1,0,0,0,0,2,1,"gebiRewfieSdtt17PTW6Zg"
1,2,0,3,5,1,0,4,3,7,-2,"gebiRewfieSdtt17PTW6Zg"
2,2,2,0,4,2,0,5,5,7,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,1,3,1,4,4,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,2,1,0,2,2,4,4,"gebiRewfieSdtt17PTW6Zg"
2,6,3,3,4,1,3,5,4,7,-1,"gebiRewfieSdtt17PTW6Zg"
0,5,1,1,5,1,2,1,1,14,7,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,1,5,1,7,4,"gebiRewfieSdtt17PTW6Zg"
3,1,2,1,2,2,1,2,2,2,-3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
1,2,2,0,1,1,1,1,1,3,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,1,1,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,0,0,2,0,6,4,"gebiRewfieSdtt17PTW6Zg"
2,3,0,0,3,0,1,3,1,7,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,1,0,1,1,0,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,4,1,1,2,1,4,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,0,5,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,2,6,0,8,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,0,0,2,4,"gebiRewfieSdtt17PTW6Zg"
8,15,9,8,11,9,8,16,19,27,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
2,3,1,1,5,2,2,6,2,8,4,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,4,1,2,3,2,4,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,2,3,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,4,0,4,3,"gebiRewfieSdtt17PTW6Zg"
2,3,0,1,3,1,1,3,3,4,2,"gebiRewfieSdtt17PTW6Zg"
1,4,1,2,4,0,2,4,1,6,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,4,1,0,3,1,6,9,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,1,1,0,1,4,"gebiRewfieSdtt17PTW6Zg"
3,3,2,3,4,2,2,5,6,10,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,2,0,2,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
2,2,0,1,1,0,1,2,1,4,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,1,0,1,1,2,3,"gebiRewfieSdtt17PTW6Zg"
2,4,2,1,4,2,1,4,3,7,5,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,0,1,0,0,2,7,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,3,1,4,4,"gebiRewfieSdtt17PTW6Zg"
1,3,1,2,6,1,2,1,3,8,10,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,1,1,3,4,4,-1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,1,1,2,1,3,7,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,2,1,0,1,3,6,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,5,0,0,7,2,10,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,3,2,"gebiRewfieSdtt17PTW6Zg"
1,5,0,0,4,0,1,3,2,7,3,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,7,1,1,5,1,9,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,2,3,1,3,9,3,8,4,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,4,0,1,5,1,4,8,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,2,1,1,3,2,6,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,1,0,3,3,"gebiRewfieSdtt17PTW6Zg"
2,1,1,1,1,1,2,1,1,1,5,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,4,0,0,2,1,5,5,"gebiRewfieSdtt17PTW6Zg"
2,6,1,2,3,5,3,5,6,9,0,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,1,1,0,2,1,3,-2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,0,1,0,0,1,0,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,1,3,0,4,2,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,2,1,1,2,1,4,-1,"gebiRewfieSdtt17PTW6Zg"
3,0,2,2,1,1,0,0,3,1,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,0,1,3,1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,0,3,1,6,5,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,3,0,1,2,1,4,0,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,2,1,1,3,2,4,4,"gebiRewfieSdtt17PTW6Zg"
0,0,1,1,0,0,0,0,0,1,3,"gebiRewfieSdtt17PTW6Zg"
2,3,1,0,4,1,1,4,2,7,2,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,4,0,1,9,1,13,13,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,1,1,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,2,0,0,4,1,6,2,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,2,0,0,3,1,6,3,"gebiRewfieSdtt17PTW6Zg"
1,2,2,0,4,1,2,2,2,6,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,4,0,8,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,6,0,1,5,0,7,7,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,4,0,1,4,1,6,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,2,0,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,4,0,1,6,1,10,6,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,1,1,1,2,2,5,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,3,9,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,3,0,4,7,"gebiRewfieSdtt17PTW6Zg"
1,4,3,1,3,2,3,6,2,9,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,5,0,0,3,2,6,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,2,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,0,1,1,1,0,1,2,0,1,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,1,0,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,2,0,2,0,0,3,2,1,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,1,1,0,1,1,3,2,"gebiRewfieSdtt17PTW6Zg"
2,5,1,1,5,2,1,5,4,6,3,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,2,0,0,3,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,1,4,1,"gebiRewfieSdtt17PTW6Zg"
2,4,1,1,4,1,2,4,4,6,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,1,1,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,2,2,1,1,2,2,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,4,6,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,1,1,0,0,1,1,1,"gebiRewfieSdtt17PTW6Zg"
0,6,1,1,9,0,2,9,1,14,17,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,1,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,0,0,1,2,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,0,1,2,0,2,0,0,3,0,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,0,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,1,5,0,8,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,1,0,0,1,0,4,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,4,1,1,4,1,4,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,0,2,2,4,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,0,1,3,2,6,5,"gebiRewfieSdtt17PTW6Zg"
